date,Volume,VWAP,Open,Close,High,Low,Trades,SMA_20,SMA_50,SMA_100
8/9/2024,88131106,29.8534,29.28,30.01,30.36,29.1,372350,27.3955,25.8002,24.0447
8/12/2024,67890322,29.9586,30.22,29.38,31.2,29.27,307999,27.431,25.9532,24.1005
8/13/2024,57294206,30.3299,29.7887,30.39,30.8498,29.56,245655,27.517,26.1274,24.1587
8/14/2024,49885641,30.9076,30.62,31,31.37,30.33,238627,27.656,26.321,24.2238
8/15/2024,43407612,31.1854,31.31,31.22,31.495,30.83,226541,27.785,26.5034,24.2942
8/16/2024,64870638,32.0876,31.04,32.08,32.75,30.98,303440,27.96,26.6858,24.3699
8/19/2024,52353641,32.2714,32.42,32.5,32.59,31.814,256623,28.162,26.86,24.446
8/20/2024,40783010,32.1701,32.5,32.32,32.72,31.63,204722,28.3375,27.0402,24.5241
8/21/2024,38147564,32.3064,32.32,32.54,32.67,31.97,185933,28.6345,27.2284,24.6194
8/22/2024,43522223,32.4313,32.55,31.92,33.125,31.85,208486,28.899,27.3898,24.71
8/23/2024,34121175,31.9575,31.99,31.78,32.55,31.622,187521,29.129,27.55,24.8006
8/26/2024,35283625,31.0701,31.43,30.85,31.74,30.79,198642,29.3175,27.7016,24.8821
8/27/2024,23541256,30.8267,30.55,30.84,31.12,30.38,130208,29.541,27.847,24.9657
8/28/2024,33961370,30.2587,30.62,30.36,30.8,29.75,179643,29.7145,27.9538,25.0397
8/29/2024,39732985,31.317,30.65,31,31.82,30.484,216992,29.9605,28.0574,25.1197
8/30/2024,42388023,31.2578,31.05,31.48,31.5,30.7,180132,30.2975,28.1758,25.2064
9/3/2024,34531596,30.8339,31.35,30.51,31.5892,30.165,207586,30.6185,28.3092,25.2873
9/4/2024,33419490,30.2687,30,30.59,30.85,29.31,201591,30.8185,28.4378,25.3648
9/5/2024,24012331,30.3495,30.24,30.16,30.74,30.01,149240,31.0105,28.5498,25.4397
9/6/2024,50946777,30.3935,30.6,30.33,31.04,29.5,289883,31.063,28.6744,25.524
9/9/2024,140582494,33.9552,32.7,34.6,34.7,32.47,694877,31.2925,28.862,25.6512
9/10/2024,91720986,34.3793,34.81,34.76,35.2,33.71,454496,31.5615,29.0506,25.7857
9/11/2024,68302252,34.307,34.01,34.85,34.87,33.62,334480,31.7845,29.23,25.9229
9/12/2024,54391843,34.9792,34.86,34.91,35.4,34.5308,290615,31.98,29.4116,26.0673
9/13/2024,49727172,35.5108,34.97,35.59,36.01,34.89,267163,32.1985,29.6064,26.2135
9/16/2024,74767329,36.2899,35.78,36.31,36.92,35.56,376123,32.41,29.788,26.3602
9/17/2024,64461751,36.3327,37,36.45,37.05,35.87,316710,32.6075,29.963,26.5088
9/18/2024,66279770,36.4996,35.9,36.38,37.11,35.8712,328192,32.8105,30.1428,26.6555
9/19/2024,59882041,36.8352,37,36.83,37.35,36.2,285820,33.025,30.311,26.7986
9/20/2024,450290538,37.065,36.01,37.2,37.29,35.71,436495,33.289,30.5022,26.9423
9/23/2024,79460737,37.6327,36.86,37.95,38.19,36.57,356399,33.5975,30.6998,27.1021
9/24/2024,79519248,36.9076,37.97,36.9,37.98,36.43,386628,33.9,30.8644,27.2499
9/25/2024,46511724,36.799,36.89,37.12,37.18,36.3827,231462,34.214,31.0334,27.3956
9/26/2024,48601992,37.0875,37.26,37.1,37.44,36.6,245125,34.551,31.211,27.5333
9/27/2024,43219122,36.9466,36.91,36.84,37.47,36.59,216162,34.843,31.375,27.6496
9/30/2024,42223553,36.898,36.58,37.2,37.32,36.15,201920,35.129,31.5474,27.8076
10/1/2024,52858036,36.662,37.21,36.46,37.56,36.05,284645,35.4265,31.7074,27.9566
10/2/2024,34988906,37.1595,36.3,37.49,37.68,36.145,186423,35.7715,31.881,28.1201
10/3/2024,57196445,38.6712,37.45,39.24,39.29,37.37,292966,36.2255,32.1338,28.3065
10/4/2024,62657545,39.871,39.65,40.01,40.29,39.4,324050,36.7095,32.4014,28.4972
10/7/2024,44124766,39.2798,39.9,38.89,40.15,38.775,248026,36.924,32.6356,28.6717
10/8/2024,62542945,40.7713,39.29,41.45,41.49,39.015,338116,37.2585,32.923,28.8695
10/9/2024,86404698,42.6145,41.55,43.13,43.34,41.21,414346,37.6725,33.2582,29.0843
10/10/2024,62516314,43.2484,42.92,43.52,43.8784,42.4101,326267,38.103,33.5908,29.3019
10/11/2024,66206893,43.3974,43.4,43.51,44.38,42.62,347635,38.499,33.9394,29.5208
10/14/2024,41010910,43.7232,43.72,43.4,44.39,43.28,253937,38.8535,34.3126,29.7424
10/15/2024,48296974,42.5404,43.475,42.43,43.68,41.515,330802,39.1525,34.6794,29.955
10/16/2024,59157938,41.4742,42.4,41.93,42.49,40.36,339243,39.43,34.9862,30.1671
10/17/2024,34028414,42.01,42.15,42,42.7,41.61,210962,39.6885,35.2998,30.377
10/18/2024,33969020,42.5925,42.015,42.97,42.99,41.65,186596,39.977,35.5736,30.5962
10/21/2024,30719779,42.7709,42.86,42.7,43.4,42.41,184494,40.2145,35.8274,30.8138
10/22/2024,27830734,42.9702,42.69,42.94,43.49,42.3,161258,40.5165,36.0986,31.0259
10/23/2024,35646980,42.8705,42.85,42.59,43.68,42.055,206440,40.79,36.3426,31.235
10/24/2024,34079557,43.2581,42.89,43.56,43.73,42.66,191700,41.113,36.5938,31.4574
10/25/2024,50416491,44.7009,43.85,44.86,45.07,43.645,288556,41.514,36.8666,31.685
10/28/2024,36729700,44.971,45.05,44.97,45.14,44.68,223989,41.9025,37.1244,31.9051
10/29/2024,26154712,44.8268,44.9,44.93,45.07,44.04,179890,42.326,37.373,32.1165
10/30/2024,31309232,44.1141,44.58,43.69,44.8,43.61,228007,42.636,37.6004,32.3203
10/31/2024,50973360,41.737,42.79,41.56,43.32,40.9,361836,42.752,37.7808,32.5046
11/1/2024,33722521,42.0968,41.93,41.92,42.57,41.59,227593,42.8475,37.9808,32.6853
11/4/2024,75413298,43.1018,41.08,41.41,42.04,41.0315,446893,42.9735,38.1734,32.8617
11/5/2024,208868200,50.0209,47.86,51.13,51.575,46.86,1094851,43.4575,38.579,33.1403
11/6/2024,114255943,54.0337,53.44,55.53,55.69,51.61,725049,44.0775,39.0728,33.4599
11/7/2024,121591164,54.9823,55.82,55.88,56.47,53.55,781847,44.6955,39.5832,33.7685
11/8/2024,84124034,57.455,55.57,58.39,58.48,55.3,545625,45.4395,40.131,34.0942
11/11/2024,108357795,60.5835,60.1325,60.24,62.08,58.69,748933,46.2815,40.7062,34.441
11/12/2024,59061338,59.3926,59.01,59.85,60.09,58.57,434751,47.1525,41.293,34.8011
11/13/2024,85937360,61.8501,61.52,60.7,63.39,59.85,570722,48.091,41.8952,35.1665
11/14/2024,59968240,59.758,61.05,59.18,61.17,58.53,418977,48.95,42.4756,35.5127
11/15/2024,155280388,63.9209,61.01,65.77,66,60.91,967228,50.09,43.1844,35.9294
11/18/2024,137877641,61.4858,64.92,61.26,64.92,58.85,930592,51.018,43.7176,36.2898
11/19/2024,75557817,61.381,59.51,62.98,63.01,59.265,489877,52.02,44.282,36.6663
11/20/2024,59182183,61.4254,62.59,62.12,63.08,59.96,440062,52.9965,44.8274,37.0287
11/21/2024,56336740,62.0414,62.04,61.36,63.4,60.895,430675,53.8865,45.3564,37.384
11/22/2024,61381713,63.3094,61.6,64.35,64.44,61.37,414672,54.861,45.9316,37.769
11/25/2024,80640465,65.7632,66.9,64.65,67.88,64.08,600176,55.845,46.4984,38.1432
11/26/2024,46923572,65.225,64.57,65.74,65.85,63.89,330981,56.8855,47.0842,38.5236
11/27/2024,53839900,65.8767,66.24,66.05,67.56,64.24,359717,58.0035,47.6776,38.9102
11/29/2024,30104046,66.613,65.89,67.08,67.16,65.47,226107,59.2795,48.2826,39.2968
12/2/2024,46404971,66.7307,67.44,66.39,67.88,65.96,369310,60.503,48.8664,39.6843
12/3/2024,100751420,69.9948,66.41,70.96,71.37,66.15,637102,61.9805,49.5266,40.1132
12/4/2024,86284801,69.4255,71.13,69.85,71.18,67.28,649412,62.9165,50.1856,40.525
12/5/2024,66585762,71.7057,70.11,71.87,72.98,69.89,465653,63.7335,50.8806,40.957
12/6/2024,93640902,75.5709,72.95,76.34,76.82,72.28,665574,64.7565,51.6654,41.4382
12/9/2024,168134824,75.0775,80.58,72.46,80.91,71.05,1381378,65.46,52.3778,41.8764
12/10/2024,89672470,73.0148,71.99,70.89,75.56,70.73,720834,65.9925,53.0516,42.2995
12/11/2024,89477656,70.8517,72.98,72.51,73,68.07,710927,66.6255,53.7726,42.74
12/12/2024,73859672,73.4533,72.3,73.2,75.38,71.9,538944,67.2505,54.4868,43.1839
12/13/2024,76172785,74.3828,73.49,76.07,76.1,72.45,540521,68.095,55.2234,43.6786
12/16/2024,126099615,74.2063,75.06,75.75,77.82,71.16,949121,68.594,55.9382,44.1698
12/17/2024,75469386,73.8638,73.28,74.39,75.32,71.7,562801,69.2505,56.6482,44.6419
12/18/2024,109643381,74.8379,74.3,71.51,77.6,70.27,786137,69.677,57.2494,45.0862
12/19/2024,99524332,74.793,73.99,74.21,76.59,73.37,664595,70.2815,57.871,45.5646
12/20/2024,281230836,79.1303,72.64,80.55,80.66,71.5,844212,71.241,58.6116,46.1012
12/23/2024,93819484,80.0414,80.65,80.69,82.02,77.41,686246,72.058,59.3552,46.6473
12/24/2024,64983263,83.0206,81.09,82.38,84.7968,81,492441,72.9445,60.1348,47.2237
12/26/2024,60547746,82.3019,83.16,82.14,83.49,81.3,479698,73.7645,60.929,47.8042
12/27/2024,66975887,79.1355,81.42,79.08,82,77.93,565233,74.416,61.672,48.3291
12/30/2024,60850862,77.6721,77.04,77.18,79.24,76.11,483214,74.921,62.3756,48.8377
12/31/2024,56267937,76.3614,77.58,75.63,77.9796,73.65,421631,75.383,63.0288,49.3012
1/2/2025,72217192,74.488,76.2,75.19,76.53,72.42,613699,75.5945,63.6786,49.753
1/3/2025,62415008,78.6387,75.39,79.89,79.98,75.19,485770,76.0965,64.4176,50.2581
1/6/2025,105619544,76.9685,78.69,75.92,80.06,74.61,844960,76.299,65.0842,50.7134
1/7/2025,91727347,71.62,75.2,69.99,75.39,69.75,885220,75.9815,65.6128,51.1033
1/8/2025,91349513,68.0403,68.12,68.23,69.53,66.51,758003,75.77,66.0802,51.4734
1/10/2025,78148636,66.506,66.01,67.26,68.2,65.04,607517,75.5885,66.526,51.8252
1/13/2025,69046325,64.6157,64.29,64.98,65.68,63.4,575560,75.212,66.927,52.15
1/14/2025,56814898,66.5697,67.18,65.91,68.23,65.19,451570,74.8475,67.3714,52.4859
1/15/2025,56025752,68.0721,68.55,68.14,68.85,67.08,401417,74.451,67.903,52.8419
1/16/2025,62908663,69.9644,69.08,69.24,71.43,68.36,433388,74.1255,68.4494,53.2151
1/17/2025,54753981,71.3371,70.9,71.77,72.34,69.95,389661,73.9945,69.0566,53.615
1/21/2025,56228967,72.7901,73.24,73.07,73.6363,70.6007,455827,74.0725,69.4954,54.0372
1/22/2025,66876368,75.9378,74.5,76.87,77.16,73.8,497683,74.2055,69.9222,54.4975
1/23/2025,55937896,77.7892,76.04,78.98,79,75.84,427697,74.127,70.3842,54.9837
1/24/2025,77931906,80.359,79.05,78.98,82.24,78.4401,539733,74.0415,70.796,55.4635
1/27/2025,76093325,74.6259,74.07,75.44,76.72,72.67,703547,73.6945,71.1,55.9031
1/28/2025,65916656,78.483,75.54,80.23,80.74,74.04,519856,73.599,71.5076,56.4003
1/29/2025,49262158,79.2651,79.95,79.76,80.8199,77.81,392817,73.633,71.8888,56.892
1/30/2025,46067527,80.7035,80.02,81.22,81.8299,79.38,375819,73.835,72.3296,57.4026
1/31/2025,79000219,83.8033,81,82.49,85.22,80.87,587096,74.178,72.664,57.9242
2/3/2025,126592731,87.3081,80.125,83.74,84.25,78.47,1051779,74.6055,73.1136,58.4156
2/4/2025,230806794,103.6245,102.8,103.83,106.91,100.51,1855411,75.8025,73.9306,59.1063
2/5/2025,90792345,101.2325,101.78,101.36,103.57,99.32,750448,77.0745,74.7154,59.7714
2/6/2025,128217484,107.6616,101.09,111.28,111.545,100.26,1025705,79.139,75.7138,60.5351
2/7/2025,143795408,113.6585,111.66,110.85,116.3,110.45,1189219,81.27,76.6438,61.2877
2/10/2025,99938072,113.9573,112.03,116.65,116.76,108.72,797862,83.7395,77.6838,62.0911
2/11/2025,94311705,114.8186,116.5,112.62,118.66,112.1,806790,86.1215,78.6214,62.8528
2/12/2025,75316878,115.3681,110.29,117.39,117.59,110,673170,88.6955,79.6482,63.6629
2/13/2025,60026970,117.0509,117.31,117.91,118.39,115.1501,591222,91.184,80.6648,64.4737
2/14/2025,65528863,118.7894,117.9,119.16,120.67,116.8,592828,93.68,81.7202,65.2933
2/18/2025,84227164,122.1212,120.94,124.62,125,118.43,813679,96.3225,82.7934,66.16
2/19/2025,147487261,117.0005,123.86,112.06,125.41,108.56,1357252,98.272,83.6376,66.9116
2/20/2025,243093928,102.2916,102.91,106.27,107.4,95.8,2385709,99.742,84.3256,67.6031
2/21/2025,129063185,104.6219,107.68,101.35,109.07,100,1229447,100.8605,84.8258,68.2456
2/24/2025,184484984,92.5157,95.88,90.68,99.01,89.3,1738926,101.4455,85.1902,68.784
2/25/2025,132626266,87.8035,90.65,87.84,91.7,85.25,1206588,102.0655,85.5292,69.2904
2/26/2025,94846187,89.7104,89.16,89.31,91.69,87.59,813098,102.5195,85.8652,69.8189
2/27/2025,99680477,88.3946,91.91,84.77,93.62,84.17,863518,102.77,86.0966,70.2917
2/28/2025,125977426,82.6348,79.98,84.92,85.18,78.58,978559,102.955,86.2736,70.7485
3/3/2025,114573905,87.1717,88.55,83.42,90.4796,82.53,938339,103.0015,86.427,71.1826
3/4/2025,116800332,83.1099,80.16,84.4,88.5,79.3,987589,103.0345,86.6272,71.6377
3/5/2025,116052996,87.2465,86.35,90.13,90.3,82.5,927508,102.3495,86.9996,72.1245
3/6/2025,117340586,83.9495,87.505,80.46,88.34,80.01,1031101,101.3045,87.1246,72.4978
3/7/2025,105377101,82.4897,80.025,84.91,85.16,79.15,867321,99.986,87.2118,72.9117
3/10/2025,136843832,77.7576,82,76.38,82.6899,74.57,1233656,98.2625,87.1256,73.2404
3/11/2025,109351514,78.3649,75.785,78.05,80.745,75.53,900758,96.3325,87.039,73.5869
3/12/2025,116525071,82.8778,83.48,83.65,84.55,79.86,943946,94.884,87.0692,73.9991
3/13/2025,100927167,80.1101,82.845,79.62,83.74,78.32,846291,92.9955,87.08,74.376
3/14/2025,113985021,85.5901,82.97,86.24,87.27,82.16,861806,91.412,87.2612,74.8184
3/17/2025,99348869,86.8907,88.44,87.35,88.82,84.5,796454,89.8215,87.4956,75.2622
3/18/2025,93236494,84.0379,85.78,83.89,86.1699,81.8,754240,87.785,87.6696,75.6741
3/19/2025,89797417,85.5996,84.55,86.1,87.99,82.86,631622,86.487,87.7938,76.1057
3/20/2025,105547414,87.5716,85.54,87.39,89.8,85.12,721132,85.543,88.0232,76.5537
